,_id,city,latitude,longitude,state,street,zipcode,appliances,architecture,basement,bathrooms,bedrooms,coolingsystem,coveredparkingspaces,exteriormaterial,finishedsqft,floorcovering,floornumber,heatingsources,heatingsystem,lotsizesqft,numfloors,numrooms,numunits,parkingtype,roof,rooms,usecode,view,yearbuilt,yearupdated,elementaryschool,highschool,homedescription,images_count,images_image,links_homedetails,links_homeinfo,links_photogallery,middleschool,neighborhood,pageviewcount_currentmonth,pageviewcount_total,agentname,agentprofileurl,externalurl,lastupdateddate,mls,openhousedates,status,type,price,schooldistrict,trans_desc,trans_score,trans_summary,walkscore_desc,walkscore_score,whatownerloves,zpid
698,55f842bb3ae7404f74f899dd,Daly City,37.675843,-122.477009,CA,1469 Southgate Ave,94015,,,,3.0,4,,,,1710,,,,,3300,,8,,,,,SingleFamily,,1959,,,,,1,http://photos2.zillowstatic.com/p_d/IS-ke0p31agngwt.jpg,http://www.zillow.com/homedetails/1469-Southgate-Ave-Daly-City-CA-94015/15472848_zpid/,http://www.zillow.com/homedetails/1469-Southgate-Ave-Daly-City-CA-94015/15472848_zpid/,http://www.zillow.com/homedetails/1469-Southgate-Ave-Daly-City-CA-94015/15472848_zpid/#image=lightbox%3Dtrue,,,943,943,,,,,,,,,,,Some Transit,31,"2 nearby routes: 0 bus, 2 rail, 0 other",Very Walkable,73,,15472848
699,55f842bb3ae7404f74f899df,Daly City,37.707587,-122.4535,CA,169 Irvington St,94014,,,,1.5,2,,,,1230,,,,,2400,,5,,,,,SingleFamily,,1931,,,,,1,http://photos3.zillowstatic.com/p_d/IShbk26x4aiom71000000000.jpg,http://www.zillow.com/homedetails/169-Irvington-St-Daly-City-CA-94014/15462762_zpid/,http://www.zillow.com/homedetails/169-Irvington-St-Daly-City-CA-94014/15462762_zpid/,http://www.zillow.com/homedetails/169-Irvington-St-Daly-City-CA-94014/15462762_zpid/#image=lightbox%3Dtrue,,,366,366,,,,,,,,,,,Some Transit,65,"19 nearby routes: 14 bus, 5 rail, 0 other",Very Walkable,79,,15462762
700,55f842bb3ae7404f74f899e0,Daly City,37.704753,-122.448166,CA,307 Frankfort St,94014,,,,2.0,3,,,,1750,,,,,3000,,7,,,,,SingleFamily,,1975,,,,,1,http://photos1.zillowstatic.com/p_d/ISp9ctm5lj7m7a0000000000.jpg,http://www.zillow.com/homedetails/307-Frankfort-St-Daly-City-CA-94014/15463073_zpid/,http://www.zillow.com/homedetails/307-Frankfort-St-Daly-City-CA-94014/15463073_zpid/,http://www.zillow.com/homedetails/307-Frankfort-St-Daly-City-CA-94014/15463073_zpid/#image=lightbox%3Dtrue,,,156,156,,,,,,,,,,,Some Transit,59,"12 nearby routes: 11 bus, 1 rail, 0 other",Somewhat Walkable,62,,15463073
701,55f842bb3ae7404f74f899e1,Daly City,37.665698,-122.463157,CA,370 Imperial Way APT 113,94015,,,,1.0,1,,,,717,,,,,1057906,,3,,,,,Condominium,,1974,,,,,1,http://photos3.zillowstatic.com/p_d/IS5ip98np9y9be0000000000.jpg,http://www.zillow.com/homedetails/370-Imperial-Way-APT-113-Daly-City-CA-94015/15622118_zpid/,http://www.zillow.com/homedetails/370-Imperial-Way-APT-113-Daly-City-CA-94015/15622118_zpid/,http://www.zillow.com/homedetails/370-Imperial-Way-APT-113-Daly-City-CA-94015/15622118_zpid/#image=lightbox%3Dtrue,,,5,163,,,,,,,,,,,Some Transit,0,"0 nearby routes: 0 bus, 0 rail, 0 other",Somewhat Walkable,62,,15622118
702,55f842bb3ae7404f74f899e5,Daly City,37.6657,-122.463165,CA,399 Imperial Way APT 3,94015,,,,1.0,1,,,,788,,,,,1057906,,3,,,,,Condominium,,1974,,,,,1,http://photos3.zillowstatic.com/p_d/ISle5o0jmtksuh0000000000.jpg,http://www.zillow.com/homedetails/399-Imperial-Way-APT-3-Daly-City-CA-94015/15621852_zpid/,http://www.zillow.com/homedetails/399-Imperial-Way-APT-3-Daly-City-CA-94015/15621852_zpid/,http://www.zillow.com/homedetails/399-Imperial-Way-APT-3-Daly-City-CA-94015/15621852_zpid/#image=lightbox%3Dtrue,,,1092,1092,,,,,,,,,,,Some Transit,0,"0 nearby routes: 0 bus, 0 rail, 0 other",Somewhat Walkable,62,,15621852
703,55f842bb3ae7404f74f899e6,Daly City,37.665698,-122.463157,CA,399 Imperial Way APT 1,94015,,,,1.5,2,,,,1048,,,,,1057906,,5,,,,,Condominium,,1974,,,,,1,http://photos3.zillowstatic.com/p_d/IS-jmmaqfmene59.jpg,http://www.zillow.com/homedetails/399-Imperial-Way-APT-1-Daly-City-CA-94015/15621850_zpid/,http://www.zillow.com/homedetails/399-Imperial-Way-APT-1-Daly-City-CA-94015/15621850_zpid/,http://www.zillow.com/homedetails/399-Imperial-Way-APT-1-Daly-City-CA-94015/15621850_zpid/#image=lightbox%3Dtrue,,,972,972,,,,,,,,,,,Some Transit,0,"0 nearby routes: 0 bus, 0 rail, 0 other",Somewhat Walkable,62,,15621850
704,55f842bb3ae7404f74f899e7,Daly City,37.694388,-122.45784,CA,326 E Moltke St,94014,,,,2.0,3,,,,1770,,,,,2625,,7,,,,,SingleFamily,,1976,,,,,1,http://photos1.zillowstatic.com/p_d/ISl2w0zil4ljs40000000000.jpg,http://www.zillow.com/homedetails/326-E-Moltke-St-Daly-City-CA-94014/15461057_zpid/,http://www.zillow.com/homedetails/326-E-Moltke-St-Daly-City-CA-94014/15461057_zpid/,http://www.zillow.com/homedetails/326-E-Moltke-St-Daly-City-CA-94014/15461057_zpid/#image=lightbox%3Dtrue,,,433,433,,,,,,,,,,,Some Transit,0,"0 nearby routes: 0 bus, 0 rail, 0 other",Car-Dependent,50,,15461057
705,55f842bb3ae7404f74f899e8,Daly City,37.706747,-122.444951,CA,239 Bellevue Ave,94014,,,,2.0,3,,,,1720,,,,,3000,,6,,,,,SingleFamily,,1983,,,,,1,http://photos2.zillowstatic.com/p_d/ISpxu79f6tozaw0000000000.jpg,http://www.zillow.com/homedetails/239-Bellevue-Ave-Daly-City-CA-94014/15463344_zpid/,http://www.zillow.com/homedetails/239-Bellevue-Ave-Daly-City-CA-94014/15463344_zpid/,http://www.zillow.com/homedetails/239-Bellevue-Ave-Daly-City-CA-94014/15463344_zpid/#image=lightbox%3Dtrue,,,360,360,,,,,,,,,,,Some Transit,61,"12 nearby routes: 11 bus, 1 rail, 0 other",Somewhat Walkable,70,,15463344
706,55f842bb3ae7404f74f899e9,Daly City,37.70614,-122.441186,CA,1029 San Luis Cir UNIT 638,94014,,,,1.0,1,,,,655,,,,,696789,,3,,,,,Condominium,,1986,,,,,1,http://photos3.zillowstatic.com/p_d/IS5ajfm6km6b9f0000000000.jpg,http://www.zillow.com/homedetails/1029-San-Luis-Cir-UNIT-638-Daly-City-CA-94014/15625718_zpid/,http://www.zillow.com/homedetails/1029-San-Luis-Cir-UNIT-638-Daly-City-CA-94014/15625718_zpid/,http://www.zillow.com/homedetails/1029-San-Luis-Cir-UNIT-638-Daly-City-CA-94014/15625718_zpid/#image=lightbox%3Dtrue,,,243,243,,,,,,,,,,,Some Transit,57,"12 nearby routes: 11 bus, 1 rail, 0 other",Somewhat Walkable,50,,15625718
707,55f842bb3ae7404f74f899ea,Daly City,37.665698,-122.463157,CA,370 Imperial Way APT 131,94015,,,,2.0,2,,,,1065,,,,,1057906,,4,,,,,Condominium,,1974,,,,,1,http://photos1.zillowstatic.com/p_d/IS-1eg2pnftyocwt.jpg,http://www.zillow.com/homedetails/370-Imperial-Way-APT-131-Daly-City-CA-94015/15622109_zpid/,http://www.zillow.com/homedetails/370-Imperial-Way-APT-131-Daly-City-CA-94015/15622109_zpid/,http://www.zillow.com/homedetails/370-Imperial-Way-APT-131-Daly-City-CA-94015/15622109_zpid/#image=lightbox%3Dtrue,,,4215,4215,,,,,,,,,,,Some Transit,0,"0 nearby routes: 0 bus, 0 rail, 0 other",Somewhat Walkable,62,,15622109
708,55f842bb3ae7404f74f899ec,Daly City,37.669156,-122.464475,CA,302 Philip Dr APT 305,94015,,,,2.5,3,,,,1242,,,,,393579,,6,,,,,Condominium,,1975,,,,,1,http://photos2.zillowstatic.com/p_d/IS-1dok3adzy9nj1.jpg,http://www.zillow.com/homedetails/302-Philip-Dr-APT-305-Daly-City-CA-94015/15620409_zpid/,http://www.zillow.com/homedetails/302-Philip-Dr-APT-305-Daly-City-CA-94015/15620409_zpid/,http://www.zillow.com/homedetails/302-Philip-Dr-APT-305-Daly-City-CA-94015/15620409_zpid/#image=lightbox%3Dtrue,,,841,841,,,,,,,,,,,Some Transit,0,"0 nearby routes: 0 bus, 0 rail, 0 other",Somewhat Walkable,69,,15620409
709,55f842bb3ae7404f74f899ee,Daly City,37.669127,-122.464236,CA,303 Philip Dr APT 101,94015,,,,2.5,3,,,,1242,,,,,393579,,5,,,,,Condominium,,1975,,,,,1,http://photos1.zillowstatic.com/p_d/IS-jmm9449it0f1.jpg,http://www.zillow.com/homedetails/303-Philip-Dr-APT-101-Daly-City-CA-94015/15620488_zpid/,http://www.zillow.com/homedetails/303-Philip-Dr-APT-101-Daly-City-CA-94015/15620488_zpid/,http://www.zillow.com/homedetails/303-Philip-Dr-APT-101-Daly-City-CA-94015/15620488_zpid/#image=lightbox%3Dtrue,,,3771,3771,,,,,,,,,,,Some Transit,0,"0 nearby routes: 0 bus, 0 rail, 0 other",Somewhat Walkable,69,,15620488
710,55f842bb3ae7404f74f89a19,San Francisco,37.75966,-122.424312,CA,3627 19th St,94110,,Other,,1.0,2,,1,Wood,1030,Hardwood,,,,1750,3,6,3,,Other,"Dining room, Family room, Laundry room, Office",Condominium,,1907,,,,"The combination of a classic, beautiful Victorian condo on a tree-lined street just a half block from Dolores Park is, by San Francisco standards, near perfection. This 1st floor condo retains much of the original architectural details (high ceilings, hardwood floors, bay windows) but seamlessly adds modern amenities. Perfectly configured with bedrooms in the front and public rooms in the rear that walk out to a gorgeous shared garden. 2 bedrooms plus an additional small room that can be utilized as a study, guest room, nursery or den. Bath has been stylishly remodeled. Kitchen is large, light-filled and remodeled. Ample closet space & add'tl storage. Stroll to the best of everything. Leased parking across the street pre-paid for one year.",1,http://photos3.zillowstatic.com/p_d/ISxrb7ih1ipmyx0000000000.jpg,http://www.zillow.com/homedetails/3627-19th-St-San-Francisco-CA-94110/53153454_zpid/,http://www.zillow.com/homedetails/3627-19th-St-San-Francisco-CA-94110/53153454_zpid/,http://www.zillow.com/homedetails/3627-19th-St-San-Francisco-CA-94110/53153454_zpid/#image=lightbox%3Dtrue,,,1917,1917,,,,2015-04-16 10:53:00.0,,,,Make me move,1339000,,Some Transit,95,"35 nearby routes: 24 bus, 11 rail, 0 other",Walker's Paradise,95,,53153454
711,55f842bb3ae7404f74f89a1b,San Francisco,37.757851,-122.415629,CA,667 Shotwell St # A,94110,"Dishwasher, Range / Oven, Refrigerator",Queen Anne / Victorian,,1.0,1,,,Wood,1212,,,,,,1,5,,,,Office,Condominium,,1890,,,,"Victorian Condo in the heart of the Mission. One-Bedroom, One-Bonus Room w/ direct garden access. This full-floor residence includes a living room w/ reclaimed wood ceiling & built-in bookshelves, sunny & bright kitchen w/ stainless range, butcher block counters, pantry and a dining room that opens to the garden. The bonus living space is the largest room and is ideal as a den. A full bath w/ claw-foot tub & updated fixtures. Period components & attentive details suggest an artist's aesthetic in this home. You will find a workspace, technology wiring, on-demand water, partial radiant heat and in unit W/D. Rear garden is an urban oasis with Magnolia & mature fruit trees. Walker's Paradise w/ access to parks, restaurants and BART.",22,None,http://www.zillow.com/homedetails/667-Shotwell-St-A-San-Francisco-CA-94110/123597388_zpid/,http://www.zillow.com/homedetails/667-Shotwell-St-A-San-Francisco-CA-94110/123597388_zpid/,http://www.zillow.com/homedetails/667-Shotwell-St-A-San-Francisco-CA-94110/123597388_zpid/#image=lightbox%3Dtrue,,,536,536,Kevin Birmingham,http://www.zillow.com/profile/user8533552/,http://www.667a-shotwell.com/,2015-09-11 13:53:00.0,437396,None,Active,For sale by agent,749000,,Some Transit,85,"24 nearby routes: 19 bus, 5 rail, 0 other",Walker's Paradise,96,,123597388
712,55f842bb3ae7404f74f89a1e,San Francisco,37.76291,-122.41498,CA,2169 Folsom St APT S106,94110,,,,,,,,,450,,,,,,,,,,,,Miscellaneous,,,,,,,4,None,http://www.zillow.com/homedetails/2169-Folsom-St-APT-S106-San-Francisco-CA-94110/2105580158_zpid/,http://www.zillow.com/homedetails/2169-Folsom-St-APT-S106-San-Francisco-CA-94110/2105580158_zpid/,http://www.zillow.com/homedetails/2169-Folsom-St-APT-S106-San-Francisco-CA-94110/2105580158_zpid/#image=lightbox%3Dtrue,,,13243,13243,,,,2015-07-22 11:13:00.0,,,,Make me move,350000,,Some Transit,91,"36 nearby routes: 25 bus, 11 rail, 0 other",Walker's Paradise,97,,2105580158
713,55f842bb3ae7404f74f89a20,San Francisco,37.749486,-122.413344,CA,3166 26th St # 3,94110,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Modern,None,2.0,3,None,1,Stucco,1449,"Hardwood, Tile",3,Gas,Forced air,2400,1,6,3,Garage - Attached,Composition,"Dining room, Laundry room, Master bath, Office, Pantry",Condominium,"City, Mountain, Park",2001,2013,,,,3,None,http://www.zillow.com/homedetails/3166-26th-St-3-San-Francisco-CA-94110/54854762_zpid/,http://www.zillow.com/homedetails/3166-26th-St-3-San-Francisco-CA-94110/54854762_zpid/,http://www.zillow.com/homedetails/3166-26th-St-3-San-Francisco-CA-94110/54854762_zpid/#image=lightbox%3Dtrue,,,5930,5930,,,,2015-06-10 18:06:00.0,,,,Make me move,1470000,,Some Transit,84,"23 nearby routes: 18 bus, 5 rail, 0 other",Walker's Paradise,94,"Amazing views of Bernal Hill, Sutro Tower, and City lights. Huge windows in bedroom, living room and kitchen let in morning light, and provide for viewing great sunsets over Twin Peaks. Off Folsom for a bit of peace and quiet while still being only a brief walk from 24th and Mission BART as well as MUNI 12,14, 27, 36, 48, 49, 67 Lines.  One block away from the last city stop for most tech shuttles, including Google, Facebook, and Apple. The building also features a three-story mural by an award winning local artist. ",54854762
714,55f842bb3ae7404f74f89a22,San Francisco,37.751655,-122.424427,CA,"3665-3667 24th Street #1, 2, 3, 4",94110,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Split-level,None,4.0,4,None,2,Stucco,2270,"Carpet, Hardwood",,Gas,Baseboard,2748,3,16,,Garage - Attached,Composition,"Breakfast nook, Laundry room, Sun room",Apartment,City,1925,,,,"Detached, four-unit building with two garage spaces and a back yard. Three one-bedroom units ranging from 750 sq feet to 450 sq feet, plus a fourth one-bedroom unit (with a combined kitchen/living room.) Located in the heart of Noe Valley.",1,http://photos1.zillowstatic.com/p_d/ISdo7qcy4rzyar1000000000.jpg,http://www.zillow.com/homedetails/3665-3667-24th-Street-1-2-3-4-San-Francisco-CA-94110/2101547670_zpid/,http://www.zillow.com/homedetails/3665-3667-24th-Street-1-2-3-4-San-Francisco-CA-94110/2101547670_zpid/,http://www.zillow.com/homedetails/3665-3667-24th-Street-1-2-3-4-San-Francisco-CA-94110/2101547670_zpid/#image=lightbox%3Dtrue,,,448,448,,,,2015-07-30 11:35:00.0,,,,Make me move,2250000,,Some Transit,82,"18 nearby routes: 13 bus, 5 rail, 0 other",Walker's Paradise,97,"Walking distance to BART, Muni, restaurants, nightlife, shopping, tech shuttles, the Mission, Dolores Park, and more. ",2101547670
